id,nuts2,nuts2_method
BG_68,BG42,inside
BG_69,BG31,inside
BG_7,BG32,inside
BG_70,BG42,inside
BG_71,BG33,inside
BG_72,BG41,inside
BG_73,BG33,inside
BG_74,BG31,inside
BG_75,BG31,inside
BG_76,BG34,inside
BG_77,BG41,inside
BG_78,BG41,inside
BG_79,BG41,inside
BG_8,BG34,inside
BG_80,BG41,inside
BG_81,BG41,inside
BG_82,BG41,inside
BG_83,BG41,inside
BG_84,BG41,inside
BG_85,BG41,inside
BG_86,BG41,inside
BG_87,BG34,inside
BG_88,BG33,inside
BG_89,BG34,inside
BG_9,BG41,inside
BG_90,BG31,inside
BG_91,BG41,inside
BG_92,BG33,inside
BG_93,BG33,inside
BG_94,BG33,inside
BG_95,BG33,inside
BG_96,BG33,inside
BG_97,BG42,inside
BG_98,BG33,inside
BG_99,BG32,inside
CY_203546,CY00,inside
CY_210000000000001,CY00,inside
CY_210000000000002,CY00,inside
CY_210000000000003,CY00,inside
CY_210000000000004,CY00,inside
CY_210000000000005,CY00,inside
CY_210000000000006,CY00,inside
CY_210000000000007,CY00,inside
CY_210000000000008,CY00,inside
CY_210000000000009,CY00,inside
CY_210000000000010,CY00,inside
CY_210000000000011,CY00,inside
CY_210000000000012,CY00,inside
CY_210000000000013,CY00,inside
CY_212200,CY00,inside
CZ_1,CZ02,inside
CZ_10,CZ08,inside
CZ_100,CZ04,inside
CZ_101,CZ04,inside
CZ_102,CZ03,inside
CZ_103,CZ06,inside
CZ_104,CZ05,inside
CZ_105,CZ02,inside
CZ_106,CZ04,inside
CZ_107,CZ04,inside
CZ_108,CZ06,inside
CZ_109,CZ04,inside
CZ_11,CZ02,inside
CZ_110,CZ05,inside
CZ_111,CZ04,inside
CZ_112,CZ04,inside
CZ_113,CZ04,inside
CZ_114,CZ08,inside
CZ_115,CZ02,inside
CZ_116,CZ07,inside
CZ_117,CZ04,inside
CZ_118,CZ08,inside
CZ_119,CZ01,inside
CZ_12,CZ07,inside
CZ_120,CZ05,inside
CZ_121,CZ01,inside
CZ_122,CZ02,inside
CZ_123,CZ02,inside
CZ_124,CZ04,inside
CZ_125,CZ05,inside
CZ_126,CZ04,inside
CZ_127,CZ04,inside
CZ_128,CZ04,inside
CZ_129,CZ04,inside
CZ_13,CZ05,inside
CZ_130,CZ01,inside
CZ_131,CZ01,inside
CZ_132,CZ07,inside
CZ_133,CZ07,inside
CZ_134,CZ07,inside
CZ_135,CZ04,inside
CZ_136,CZ06,inside
CZ_137,CZ06,inside
CZ_138,CZ01,inside
CZ_139,CZ05,inside
CZ_14,CZ06,inside
CZ_140,CZ05,inside
CZ_141,CZ06,inside
CZ_142,CZ06,inside
CZ_143,CZ06,inside
CZ_144,CZ04,inside
CZ_145,CZ05,inside
CZ_146,CZ03,inside
CZ_147,CZ06,inside
CZ_148,CZ02,inside
CZ_149,CZ07,inside
CZ_15,CZ03,inside
CZ_150,CZ04,inside
CZ_151,CZ04,inside
CZ_152,CZ07,inside
CZ_153,CZ05,inside
CZ_154,CZ01,inside
CZ_155,CZ05,inside
CZ_156,CZ05,inside
CZ_157,CZ05,inside
CZ_158,CZ08,inside
CZ_159,CZ07,inside
CZ_16,CZ05,inside
CZ_160,CZ07,inside
CZ_161,CZ07,inside
CZ_162,CZ08,inside
CZ_163,CZ03,inside
CZ_164,CZ02,inside
CZ_165,CZ05,inside
CZ_166,CZ06,inside
CZ_167,CZ02,inside
CZ_168,CZ06,inside
CZ_169,CZ03,inside
CZ_17,CZ08,inside
CZ_170,CZ03,inside
CZ_171,CZ03,inside
CZ_172,CZ08,inside
CZ_173,CZ07,inside
CZ_174,CZ07,inside
CZ_175,CZ04,inside
CZ_176,CZ04,inside
CZ_177,CZ07,inside
CZ_178,CZ01,inside
CZ_179,CZ02,inside
CZ_18,CZ05,inside
CZ_180,CZ01,inside
CZ_181,CZ06,inside
CZ_182,DED2,inside
CZ_183,CZ05,inside
CZ_184,CZ07,inside
CZ_185,CZ02,inside
CZ_186,CZ03,inside
CZ_187,CZ06,inside
CZ_188,CZ01,inside
CZ_189,CZ05,inside
CZ_19,CZ03,inside
CZ_190,CZ02,inside
CZ_191,CZ02,inside
CZ_192,CZ02,inside
CZ_193,CZ04,inside
